country_group,seasonality,month,unemployment,unemployment_rate
eu,nsa,2000.01,20641000,9.3
eu,nsa,2000.02,20729000,9.3
eu,nsa,2000.03,20626000,9.2
eu,nsa,2000.04,19685000,8.8
eu,nsa,2000.05,19351000,8.6
eu,nsa,2000.06,19205000,8.5
eu,nsa,2000.07,18986000,8.4
eu,nsa,2000.08,19192000,8.5
eu,nsa,2000.09,19042000,8.4
eu,nsa,2000.10,18973000,8.4
eu,nsa,2000.11,18957000,8.4
eu,nsa,2000.12,18997000,8.4
eu,nsa,2001.01,19742000,8.8
eu,nsa,2001.02,19823000,8.8
eu,nsa,2001.03,19824000,8.8
eu,nsa,2001.04,19018000,8.4
eu,nsa,2001.05,18937000,8.4
eu,nsa,2001.06,18934000,8.4
eu,nsa,2001.07,18760000,8.2
eu,nsa,2001.08,19038000,8.4
eu,nsa,2001.09,18984000,8.3
eu,nsa,2001.10,19230000,8.5
eu,nsa,2001.11,19384000,8.5
eu,nsa,2001.12,19574000,8.6
eu,nsa,2002.01,20562000,9.1
eu,nsa,2002.02,20695000,9.2
eu,nsa,2002.03,20682000,9.2
eu,nsa,2002.04,19975000,8.8
eu,nsa,2002.05,19760000,8.7
eu,nsa,2002.06,19833000,8.7
eu,nsa,2002.07,19881000,8.7
eu,nsa,2002.08,20256000,8.8
eu,nsa,2002.09,20246000,8.8
eu,nsa,2002.10,20415000,8.9
eu,nsa,2002.11,20475000,9
eu,nsa,2002.12,20581000,9
eu,nsa,2003.01,21341000,9.4
eu,nsa,2003.02,21324000,9.4
eu,nsa,2003.03,21355000,9.4
eu,nsa,2003.04,20403000,8.9
eu,nsa,2003.05,20183000,8.8
eu,nsa,2003.06,20266000,8.8
eu,nsa,2003.07,20107000,8.7
eu,nsa,2003.08,20336000,8.8
eu,nsa,2003.09,20192000,8.8
eu,nsa,2003.10,20378000,8.9
eu,nsa,2003.11,20457000,8.9
eu,nsa,2003.12,20692000,9
eu,nsa,2004.01,21820000,9.5
eu,nsa,2004.02,21961000,9.6
eu,nsa,2004.03,21805000,9.5
eu,nsa,2004.04,20761000,9
eu,nsa,2004.05,20532000,8.9
eu,nsa,2004.06,20406000,8.8
eu,nsa,2004.07,20257000,8.7
eu,nsa,2004.08,20540000,8.8
eu,nsa,2004.09,20797000,8.9
eu,nsa,2004.10,20923000,9
eu,nsa,2004.11,21014000,9
eu,nsa,2004.12,20941000,9
eu,nsa,2005.01,21632000,9.4
eu,nsa,2005.02,21775000,9.4
eu,nsa,2005.03,21731000,9.4
eu,nsa,2005.04,20835000,9
eu,nsa,2005.05,20708000,8.9
eu,nsa,2005.06,20432000,8.7
eu,nsa,2005.07,19861000,8.5
eu,nsa,2005.08,20292000,8.7
eu,nsa,2005.09,20618000,8.8
eu,nsa,2005.10,20851000,8.9
eu,nsa,2005.11,20514000,8.7
eu,nsa,2005.12,20418000,8.7
eu,nsa,2006.01,21248000,9.1
eu,nsa,2006.02,20981000,9
eu,nsa,2006.03,20582000,8.8
eu,nsa,2006.04,19463000,8.3
eu,nsa,2006.05,18943000,8.1
eu,nsa,2006.06,18811000,8
eu,nsa,2006.07,18546000,7.8
eu,nsa,2006.08,18733000,7.9
eu,nsa,2006.09,18667000,7.9
eu,nsa,2006.10,18608000,7.9
eu,nsa,2006.11,18542000,7.8
eu,nsa,2006.12,18171000,7.7
eu,nsa,2007.01,18568000,7.9
eu,nsa,2007.02,18428000,7.8
eu,nsa,2007.03,17771000,7.6
eu,nsa,2007.04,16910000,7.2
eu,nsa,2007.05,16719000,7.1
eu,nsa,2007.06,16398000,6.9
eu,nsa,2007.07,16551000,6.9
eu,nsa,2007.08,16592000,7
eu,nsa,2007.09,16535000,6.9
eu,nsa,2007.10,16408000,6.9
eu,nsa,2007.11,16413000,6.9
eu,nsa,2007.12,16475000,6.9
eu,nsa,2008.01,17002000,7.2
eu,nsa,2008.02,16893000,7.1
eu,nsa,2008.03,16540000,7
eu,nsa,2008.04,16362000,6.8
eu,nsa,2008.05,16072000,6.7
eu,nsa,2008.06,16431000,6.8
eu,nsa,2008.07,16291000,6.8
eu,nsa,2008.08,16441000,6.8
eu,nsa,2008.09,16600000,6.9
eu,nsa,2008.10,17004000,7.1
eu,nsa,2008.11,17592000,7.3
eu,nsa,2008.12,18295000,7.6
eu,nsa,2009.01,19972000,8.4
eu,nsa,2009.02,21113000,8.8
eu,nsa,2009.03,21416000,8.9
eu,nsa,2009.04,21173000,8.8
eu,nsa,2009.05,21008000,8.7
eu,nsa,2009.06,21050000,8.7
eu,nsa,2009.07,21325000,8.8
eu,nsa,2009.08,21545000,8.9
eu,nsa,2009.09,21991000,9.1
eu,nsa,2009.10,22176000,9.2
eu,nsa,2009.11,22293000,9.3
eu,nsa,2009.12,22549000,9.4
eu,nsa,2010.01,24051000,10
eu,nsa,2010.02,24407000,10.2
eu,nsa,2010.03,24009000,10
eu,nsa,2010.04,23407000,9.7
eu,nsa,2010.05,22902000,9.5
eu,nsa,2010.06,22414000,9.3
eu,nsa,2010.07,22370000,9.2
eu,nsa,2010.08,22267000,9.2
eu,nsa,2010.09,22656000,9.4
eu,nsa,2010.10,23065000,9.5
eu,nsa,2010.11,22866000,9.5
eu,nsa,2010.12,22962000,9.5
eu,sa,2000.01,19954000,8.9
eu,sa,2000.02,19909000,8.9
eu,sa,2000.03,19854000,8.8
eu,sa,2000.04,19772000,8.8
eu,sa,2000.05,19671000,8.7
eu,sa,2000.06,19587000,8.7
eu,sa,2000.07,19485000,8.7
eu,sa,2000.08,19418000,8.6
eu,sa,2000.09,19356000,8.6
eu,sa,2000.10,19164000,8.5
eu,sa,2000.11,19119000,8.5
eu,sa,2000.12,19069000,8.4
eu,sa,2001.01,19037000,8.4
eu,sa,2001.02,19087000,8.4
eu,sa,2001.03,19116000,8.5
eu,sa,2001.04,19112000,8.5
eu,sa,2001.05,19229000,8.5
eu,sa,2001.06,19240000,8.5
eu,sa,2001.07,19220000,8.5
eu,sa,2001.08,19255000,8.5
eu,sa,2001.09,19314000,8.5
eu,sa,2001.10,19453000,8.6
eu,sa,2001.11,19553000,8.6
eu,sa,2001.12,19641000,8.7
eu,sa,2002.01,19847000,8.8
eu,sa,2002.02,19947000,8.8
eu,sa,2002.03,19960000,8.8
eu,sa,2002.04,20075000,8.8
eu,sa,2002.05,20124000,8.9
eu,sa,2002.06,20249000,8.9
eu,sa,2002.07,20383000,9
eu,sa,2002.08,20467000,9
eu,sa,2002.09,20548000,9
eu,sa,2002.10,20544000,9
eu,sa,2002.11,20595000,9
eu,sa,2002.12,20577000,9
eu,sa,2003.01,20563000,9
eu,sa,2003.02,20558000,9
eu,sa,2003.03,20589000,9
eu,sa,2003.04,20537000,9
eu,sa,2003.05,20561000,9
eu,sa,2003.06,20642000,9
eu,sa,2003.07,20622000,9
eu,sa,2003.08,20637000,9
eu,sa,2003.09,20650000,9
eu,sa,2003.10,20613000,9
eu,sa,2003.11,20658000,9
eu,sa,2003.12,20734000,9
eu,sa,2004.01,20930000,9.1
eu,sa,2004.02,20945000,9.1
eu,sa,2004.03,21012000,9.1
eu,sa,2004.04,20969000,9.1
eu,sa,2004.05,20988000,9.1
eu,sa,2004.06,20940000,9.1
eu,sa,2004.07,20947000,9.1
eu,sa,2004.08,20924000,9
eu,sa,2004.09,20998000,9.1
eu,sa,2004.10,20967000,9
eu,sa,2004.11,21033000,9.1
eu,sa,2004.12,21084000,9.1
eu,sa,2005.01,20868000,9
eu,sa,2005.02,20963000,9
eu,sa,2005.03,21036000,9
eu,sa,2005.04,21008000,9
eu,sa,2005.05,20954000,9
eu,sa,2005.06,20931000,9
eu,sa,2005.07,20690000,8.9
eu,sa,2005.08,20622000,8.8
eu,sa,2005.09,20639000,8.8
eu,sa,2005.10,20669000,8.8
eu,sa,2005.11,20516000,8.8
eu,sa,2005.12,20369000,8.7
eu,sa,2006.01,20248000,8.6
eu,sa,2006.02,20101000,8.6
eu,sa,2006.03,19969000,8.5
eu,sa,2006.04,19808000,8.4
eu,sa,2006.05,19591000,8.3
eu,sa,2006.06,19336000,8.2
eu,sa,2006.07,19139000,8.1
eu,sa,2006.08,19042000,8.1
eu,sa,2006.09,18839000,8
eu,sa,2006.10,18600000,7.9
eu,sa,2006.11,18422000,7.8
eu,sa,2006.12,18153000,7.7
eu,sa,2007.01,17850000,7.6
eu,sa,2007.02,17572000,7.4
eu,sa,2007.03,17336000,7.3
eu,sa,2007.04,17100000,7.2
eu,sa,2007.05,17066000,7.2
eu,sa,2007.06,16926000,7.1
eu,sa,2007.07,16979000,7.2
eu,sa,2007.08,16884000,7.1
eu,sa,2007.09,16747000,7
eu,sa,2007.10,16609000,7
eu,sa,2007.11,16444000,6.9
eu,sa,2007.12,16491000,6.9
eu,sa,2008.01,16246000,6.8
eu,sa,2008.02,16060000,6.7
eu,sa,2008.03,15971000,6.7
eu,sa,2008.04,16195000,6.8
eu,sa,2008.05,16379000,6.8
eu,sa,2008.06,16641000,6.9
eu,sa,2008.07,16743000,7
eu,sa,2008.08,16938000,7.1
eu,sa,2008.09,17140000,7.1
eu,sa,2008.10,17499000,7.3
eu,sa,2008.11,17941000,7.5
eu,sa,2008.12,18403000,7.7
eu,sa,2009.01,19125000,8
eu,sa,2009.02,19831000,8.2
eu,sa,2009.03,20561000,8.5
eu,sa,2009.04,20935000,8.7
eu,sa,2009.05,21323000,8.9
eu,sa,2009.06,21570000,9
eu,sa,2009.07,21946000,9.1
eu,sa,2009.08,22150000,9.2
eu,sa,2009.09,22442000,9.3
eu,sa,2009.10,22525000,9.4
eu,sa,2009.11,22650000,9.4
eu,sa,2009.12,22745000,9.5
eu,sa,2010.01,22948000,9.5
eu,sa,2010.02,23056000,9.6
eu,sa,2010.03,23074000,9.6
eu,sa,2010.04,23133000,9.6
eu,sa,2010.05,23147000,9.6
eu,sa,2010.06,23099000,9.6
eu,sa,2010.07,23133000,9.6
eu,sa,2010.08,23111000,9.6
eu,sa,2010.09,23173000,9.6
eu,sa,2010.10,23261000,9.6
eu,sa,2010.11,23198000,9.6
eu,sa,2010.12,23179000,9.6
eu,trend,2000.01,19957000,8.9
eu,trend,2000.02,19906000,8.9
eu,trend,2000.03,19858000,8.8
eu,trend,2000.04,19738000,8.8
eu,trend,2000.05,19648000,8.7
eu,trend,2000.06,19566000,8.7
eu,trend,2000.07,19458000,8.6
eu,trend,2000.08,19399000,8.6
eu,trend,2000.09,19345000,8.6
eu,trend,2000.10,19197000,8.5
eu,trend,2000.11,19138000,8.5
eu,trend,2000.12,19094000,8.5
eu,trend,2001.01,19067000,8.4
eu,trend,2001.02,19106000,8.5
eu,trend,2001.03,19127000,8.5
eu,trend,2001.04,19113000,8.5
eu,trend,2001.05,19170000,8.5
eu,trend,2001.06,19217000,8.5
eu,trend,2001.07,19227000,8.5
eu,trend,2001.08,19268000,8.5
eu,trend,2001.09,19338000,8.5
eu,trend,2001.10,19472000,8.6
eu,trend,2001.11,19592000,8.6
eu,trend,2001.12,19675000,8.7
eu,trend,2002.01,19748000,8.7
eu,trend,2002.02,19788000,8.7
eu,trend,2002.03,19862000,8.7
eu,trend,2002.04,20051000,8.8
eu,trend,2002.05,20185000,8.9
eu,trend,2002.06,20306000,8.9
eu,trend,2002.07,20376000,9
eu,trend,2002.08,20465000,9
eu,trend,2002.09,20528000,9
eu,trend,2002.10,20525000,9
eu,trend,2002.11,20560000,9
eu,trend,2002.12,20546000,9
eu,trend,2003.01,20566000,9
eu,trend,2003.02,20596000,9
eu,trend,2003.03,20611000,9
eu,trend,2003.04,20608000,9
eu,trend,2003.05,20618000,9
eu,trend,2003.06,20664000,9
eu,trend,2003.07,20653000,9
eu,trend,2003.08,20647000,9
eu,trend,2003.09,20645000,9
eu,trend,2003.10,20682000,9
eu,trend,2003.11,20711000,9
eu,trend,2003.12,20773000,9
eu,trend,2004.01,20866000,9.1
eu,trend,2004.02,20869000,9.1
eu,trend,2004.03,20944000,9.1
eu,trend,2004.04,20967000,9.1
eu,trend,2004.05,20972000,9.1
eu,trend,2004.06,20930000,9.1
eu,trend,2004.07,20941000,9.1
eu,trend,2004.08,20907000,9
eu,trend,2004.09,20945000,9
eu,trend,2004.10,20950000,9
eu,trend,2004.11,20997000,9
eu,trend,2004.12,21034000,9
eu,trend,2005.01,20890000,9
eu,trend,2005.02,20949000,9
eu,trend,2005.03,21034000,9
eu,trend,2005.04,20960000,9
eu,trend,2005.05,20901000,9
eu,trend,2005.06,20876000,8.9
eu,trend,2005.07,20694000,8.9
eu,trend,2005.08,20642000,8.8
eu,trend,2005.09,20671000,8.8
eu,trend,2005.10,20642000,8.8
eu,trend,2005.11,20525000,8.8
eu,trend,2005.12,20342000,8.7
eu,trend,2006.01,20229000,8.6
eu,trend,2006.02,20117000,8.6
eu,trend,2006.03,19963000,8.5
eu,trend,2006.04,19781000,8.4
eu,trend,2006.05,19591000,8.3
eu,trend,2006.06,19343000,8.2
eu,trend,2006.07,19133000,8.1
eu,trend,2006.08,19021000,8.1
eu,trend,2006.09,18838000,8
eu,trend,2006.10,18625000,7.9
eu,trend,2006.11,18431000,7.8
eu,trend,2006.12,18163000,7.7
eu,trend,2007.01,17871000,7.6
eu,trend,2007.02,17606000,7.4
eu,trend,2007.03,17352000,7.3
eu,trend,2007.04,17097000,7.2
eu,trend,2007.05,17055000,7.2
eu,trend,2007.06,16919000,7.1
eu,trend,2007.07,16999000,7.2
eu,trend,2007.08,16887000,7.1
eu,trend,2007.09,16758000,7
eu,trend,2007.10,16605000,7
eu,trend,2007.11,16465000,6.9
eu,trend,2007.12,16498000,6.9
eu,trend,2008.01,16270000,6.8
eu,trend,2008.02,16097000,6.7
eu,trend,2008.03,16034000,6.7
eu,trend,2008.04,16281000,6.8
eu,trend,2008.05,16435000,6.9
eu,trend,2008.06,16653000,7
eu,trend,2008.07,16772000,7
eu,trend,2008.08,16979000,7.1
eu,trend,2008.09,17170000,7.2
eu,trend,2008.10,17531000,7.3
eu,trend,2008.11,17949000,7.5
eu,trend,2008.12,18440000,7.7
eu,trend,2009.01,19156000,8
eu,trend,2009.02,19819000,8.2
eu,trend,2009.03,20548000,8.5
eu,trend,2009.04,20955000,8.7
eu,trend,2009.05,21287000,8.8
eu,trend,2009.06,21571000,9
eu,trend,2009.07,21918000,9.1
eu,trend,2009.08,22112000,9.2
eu,trend,2009.09,22393000,9.3
eu,trend,2009.10,22504000,9.4
eu,trend,2009.11,22625000,9.4
eu,trend,2009.12,22732000,9.5
eu,trend,2010.01,22931000,9.5
eu,trend,2010.02,23054000,9.6
eu,trend,2010.03,23079000,9.6
eu,trend,2010.04,23117000,9.6
eu,trend,2010.05,23143000,9.6
eu,trend,2010.06,23111000,9.6
eu,trend,2010.07,23118000,9.6
eu,trend,2010.08,23112000,9.6
eu,trend,2010.09,23150000,9.6
eu,trend,2010.10,23239000,9.6
eu,trend,2010.11,23181000,9.6
eu,trend,2010.12,23161000,9.6
